  PERMNO        date            mcd        vwretd        ewretd        sprtrn
   43449    19750630       0.055556      0.051473      0.071792      0.044323
   43449    19750731      -0.149123     -0.060385     -0.008960     -0.067654
   43449    19750829      -0.028351     -0.023557     -0.048118     -0.021070
   43449    19750930      -0.013263     -0.038010     -0.038867     -0.034645
   43449    19751031       0.131720      0.055857      0.014720      0.061643
   43449    19751128       0.102138      0.031223      0.016796      0.024708
   43449    19751231       0.006466     -0.010998     -0.000599     -0.011508
   43449    19760130       0.066381      0.126011      0.190037      0.118306
   43449    19760227       0.008032      0.007314      0.106291     -0.011402
   43449    19760331       0.019920      0.026799      0.018109      0.030689
   43449    19760430      -0.035156     -0.010389     -0.003810     -0.010995
   43449    19760528      -0.096761     -0.009369     -0.019680     -0.014364
   43449    19760630       0.049327      0.044487      0.026510      0.040926
   43449    19760730      -0.029487     -0.006157      0.002236     -0.008055
   43449    19760831      -0.039648     -0.001435     -0.016673     -0.005124
   43449    19760930       0.011468      0.024484      0.016990      0.022641
   43449    19761029      -0.035828     -0.020373     -0.022586     -0.022235
   43449    19761130       0.035294      0.005364      0.026686     -0.007775
   43449    19761231      -0.029545      0.061591      0.102410      0.052498
   43449    19770131      -0.142857     -0.036337      0.036903     -0.050530
   43449    19770228      -0.021311     -0.015760      0.004400     -0.021660
   43449    19770331      -0.111732     -0.009246      0.010654     -0.014025
   43449    19770429       0.003145      0.004952      0.016931      0.000203
   43449    19770531       0.010658     -0.010785      0.002870     -0.023568
   43449    19770630       0.142857      0.051367      0.051503      0.045360
   43449    19770729       0.020109     -0.012810      0.012362     -0.016222
   43449    19770831       0.061333     -0.013352     -0.001233     -0.021042
   43449    19770930       0.005025      0.001574      0.014968     -0.002480
   43449    19771031      -0.054000     -0.039280     -0.023190     -0.043406
   43449    19771130       0.079365      0.045432      0.070872      0.026966
   43449    19771230       0.009804      0.008218      0.021081      0.002847
   43449    19780131      -0.116505     -0.055202     -0.011152     -0.061514
   43449    19780228      -0.018132     -0.009275      0.026008     -0.024762
   43449    19780331       0.025210      0.034013      0.067839      0.024931
   43449    19780428       0.112022      0.082841      0.079317      0.085416
   43449    19780531       0.058280      0.023238      0.067620      0.004234
   43449    19780630      -0.020930     -0.010751      0.010292     -0.017585
   43449    19780731       0.044466      0.056749      0.052394      0.053910
   43449    19780831       0.015945      0.042352      0.093545      0.025924
   43449    19780929      -0.085202     -0.006891      0.006200     -0.007261
   43449    19781031      -0.069314     -0.110997     -0.177280     -0.091574
   43449    19781130      -0.007916      0.033792      0.038205      0.016640
   43449    19781229      -0.015957      0.017710      0.014346      0.014889
   43449    19790131      -0.037838      0.049489      0.093661      0.039746
   43449    19790228      -0.096292     -0.026766     -0.016269     -0.036526
   43449    19790330       0.046729      0.065618      0.084167      0.055152
   43449    19790430       0.053571      0.008522      0.028814      0.001673
   43449    19790531       0.020113     -0.013576     -0.006845     -0.026336
   43449    19790629       0.011111      0.046850      0.054663      0.038656
   43449    19790731       0.058022      0.014991      0.021366      0.008746
   43449    19790831       0.075521      0.064728      0.075616      0.053078
   43449    19790928      -0.046005      0.001428     -0.001172      0.000000
   43449    19791031      -0.108832     -0.072660     -0.097915     -0.068606
   43449    19791130      -0.025714      0.063603      0.065295      0.042624
   43449    19791231       0.017595      0.028212      0.067485      0.016767
   43449    19800131      -0.005764      0.065607      0.105129      0.057625
   43449    19800229      -0.066319      0.001015     -0.006301     -0.004380
   43449    19800331       0.034268     -0.120224     -0.165043     -0.101795
   43449    19800430       0.027108      0.052288      0.053461      0.041140
   43449    19800530       0.099707      0.060090      0.071249      0.046571
   43449    19800630       0.033600      0.037714      0.046176      0.026969
   43449    19800731      -0.026943      0.069438      0.089279      0.065039
   43449    19800829       0.024064      0.023553      0.063984      0.005835
   43449    19800930       0.002611      0.029498      0.052459      0.025168
   43449    19801031      -0.073958      0.020093      0.047525      0.016021
   43449    19801128       0.036723      0.104951      0.069205      0.102377
   43449    19801231       0.062670     -0.034409     -0.032416     -0.033874
   43449    19810130       0.097436     -0.040085      0.005615     -0.045742
   43449    19810227       0.115888      0.015521      0.002150      0.013277
   43449    19810331       0.054622      0.046184      0.072674      0.036033
   43449    19810430       0.027888     -0.011268      0.027885     -0.023456
   43449    19810529       0.050388      0.013551      0.027187     -0.001657
   43449    19810630      -0.040741     -0.010242     -0.013194     -0.010408
   43449    19810731      -0.052124     -0.003080     -0.019980     -0.002210
   43449    19810831      -0.061350     -0.056279     -0.071906     -0.062099
   43449    19810930       0.080610     -0.063772     -0.090061     -0.053832
   43449    19811030       0.133065      0.060162      0.069728      0.049148
   43449    19811130      -0.035714      0.045849      0.021667      0.036590
   43449    19811231      -0.031481     -0.028096     -0.019694     -0.030075
   43449    19820129      -0.026769     -0.026209     -0.017347     -0.017544
   43449    19820226      -0.058939     -0.051126     -0.047987     -0.060548
   43449    19820331       0.129979     -0.010099     -0.012064     -0.010167
   43449    19820430      -0.005566      0.043267      0.052242      0.040014
   43449    19820528      -0.016045     -0.028212     -0.022490     -0.039162
   43449    19820630       0.091429     -0.023912     -0.036699     -0.020290
   43449    19820730       0.026876     -0.020526     -0.014776     -0.022991
   43449    19820831       0.117747      0.119013      0.063285      0.115977
   43449    19820930      -0.010687      0.016761      0.033164      0.007614
   43449    19821029       0.117500      0.118636      0.128447      0.110364
   43449    19821130       0.008316      0.051935      0.092037      0.036123
   43449    19821231      -0.004124      0.014516      0.023447      0.015158
